journal_title,twitter,followers,date
biology open,BiologyOpen,3710,2023-03-31
biomacromolecules,Biomac_ACS,3958,2023-03-31
biomarkers in medicine,fsgbmm,1595,2023-03-31
biomaterials,Biomaterials_,4318,2023-03-31
biomaterials science,BioMaterSci,6816,2023-03-31
biomedical journal,BiomedJ,14120,2023-03-31
biomedical microdevices,BioMedMicroDev,28,2023-03-31
biomedicines,Biomed_MDPI,969,2023-03-31
biometrics,Biometrics_ibs,317,2023-03-31
biomolecules,Biomol_MDPI,1348,2023-03-31
biophysical journal,BiophysJ,5875,2023-03-31
bioresources,BioResJournal,721,2023-03-31
bioscience trends,BST_Journal,12,2023-03-31
biosemiotics,Biosemiotics_J,348,2023-03-31
biosensors-basel,Biosensors_MDPI,1238,2023-03-31
biostatistics,biostatistics,4993,2023-03-31
biotechniques,MyBioTechniques,13667,2023-03-31
biotropica,Biotropica,5232,2023-03-31
bird conservation international,bci_journal,1612,2023-03-31
bjs open,BjsOpen,9191,2023-03-31
bju international,BJUIjournal,19076,2023-03-31
bladder cancer,BladderCaJrnl,2268,2023-03-31
blood,BloodJournal,47298,2023-03-31
blood advances,BloodAdvances,30919,2023-03-31
blood cancer journal,BloodCancerJnl,1866,2023-03-31
blood pressure monitoring,BloodPressureM,1566,2023-03-31
blood transfusion,BloodT_journal,1372,2023-03-31
bmc biology,BMCBiology,9616,2023-03-31
bmc medicine,BMCMedicine,9281,2023-03-31
bmc neurology,NeuroPsychBMC,1675,2023-03-31
bmc surgery,BMCSurgery,4826,2023-03-31
bmgn-the low countries historical review,BMGN_LCHR,2510,2023-03-31
bmj-british medical journal,bmj_latest,504307,2023-03-31
bmj evidence-based medicine,BMJ_EBM,11056,2023-03-31
bmj global health,GlobalHealthBMJ,17677,2023-03-31
bmj military health,MilitaryH_BMJ,2540,2023-03-31
bmj open,BMJ_Open,20734,2023-03-31
bmj open diabetes research & care,DiabetesRC,1119,2023-03-31
bmj paediatrics open,BMJ_PO,1050,2023-03-31
bmj quality & safety,BMJ_Qual_Saf,16700,2023-03-31
bmj sexual & reproductive health,BMJ_SRH,2708,2023-03-31
bmj supportive & palliative care,BMJ_SPCare,3523,2023-03-31
body & society,tcsjournalsage,7772,2023-03-31
bone & joint journal,BoneJointJ,32284,2023-03-31
bone & joint research,BoneJointRes,17284,2023-03-31
bone marrow transplantation,BMTjournal,3994,2023-03-31
book collector,BookCollectoruk,1243,2023-03-31
boreal environment research,BorealResearch,32,2023-03-31
boreas,BoreasJ1972,543,2023-03-31
boston university law review,BULawReview,3255,2023-03-31
botanica serbica,BSerbica,39,2023-03-31
botanical journal of the linnean society,BotJLinnSoc,3422,2023-03-31
brachytherapy,BrachyJournal,1035,2023-03-31
brain,Brain1878,55327,2023-03-31
brain behavior and immunity,BrainBehavImm,2365,2023-03-31
brain imaging and behavior,BrainImagBehav,8,2023-03-31
brain impairment,BrainImpairment,297,2023-03-31
brain pathology,brainpathol,1691,2023-03-31
brain sciences,BrainSci_MDPI,1668,2023-03-31
brain stimulation,brainstimj,3255,2023-03-31
brain structure & function,BrainStrucFunc,721,2023-03-31
brazilian journal of botany,BrJournalBotany,97,2023-03-31
brazilian journal of geology,BrazJGeology,416,2023-03-31
brazilian journal of physical therapy,BrazJPhysTher,1625,2023-03-31
brazilian journal of psychiatry,brazjpsychiatry,207,2023-03-31
breast cancer research,BCRJournal,1237,2023-03-31
british accounting review,bafa_bar,72,2023-03-31
